"domain","ficat","figrpid","subjid","fitest","fiorres","fiorresu","fidtc","fidt"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","totalEquityGrossMinorityInterest",1809677000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","tangibleBookValue",694898000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","tangibleBookValue",992802000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","tangibleBookValue",1289751000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","tangibleBookValue",1530246000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","netDebt",182537000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossPPE",1322163000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossPPE",1418443000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossPPE",1649975000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossPPE",1750439000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accumulatedDepreciation",-791348000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accumulatedDepreciation",-836364000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accumulatedDepreciation",-913245000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accumulatedDepreciation",-1004270000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","receivables",320061000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","receivables",358496000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","receivables",369233000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","receivables",371930000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","allowanceForDoubtfulAccountsReceivable",-3806000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","costOfRevenue",857067000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","costOfRevenue",798094000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","costOfRevenue",1134802000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","costOfRevenue",1173343000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","costOfRevenue",1003557000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","interestExpenseNonOperating",2321000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","interestExpenseNonOperating",11662000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","interestExpenseNonOperating",7491000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","interestExpenseNonOperating",8320000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","interestExpenseNonOperating",5700000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingRevenue",1294521000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingRevenue",1229215000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingRevenue",1805162000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingRevenue",2000580000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingRevenue",1661739000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","grossProfit",437454000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","grossProfit",431121000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","grossProfit",670360000,"USD","2021-12-31","2021-12-31"
