"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod","fistresn","afidtc","chg"
"MO","BALANCE SHEET","MSFT","PensionandOtherPostRetirementBenefitPlansCurrent",11009000000,"USD","2023-06-30 00:00:00","12M",0.05195007432225185,"2023-06-30_2022-06-30",0.03264234124378576
"MO","BALANCE SHEET","MSFT","PensionandOtherPostRetirementBenefitPlansCurrent",12564000000,"USD","2024-06-30 00:00:00","12M",0.05125610920276434,"2024-06-30_2023-06-30",0.14124806976110454
"MO","BALANCE SHEET","DIOD","PreferredStock",0,"USD","2020-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","PreferredStock",0,"USD","2021-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","PreferredStock",0,"USD","2022-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","PreferredStock",0,"USD","2023-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","PrepaidAssets",70193000,"USD","2020-12-31 00:00:00","12M",0.05710392404908824,"",""
"MO","BALANCE SHEET","DIOD","PrepaidAssets",107194000,"USD","2021-12-31 00:00:00","12M",0.05938192804856295,"2021-12-31_2020-12-31",0.527132335133133
"MO","BALANCE SHEET","DIOD","PrepaidAssets",83999000,"USD","2022-12-31 00:00:00","12M",0.04198732367613392,"2022-12-31_2021-12-31",-0.2163833796667724
"MO","BALANCE SHEET","DIOD","Properties",0,"USD","2020-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","Properties",0,"USD","2021-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","Properties",0,"USD","2022-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","Properties",0,"USD","2023-12-31 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","MSFT","Properties",0,"USD","2021-06-30 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","MSFT","Properties",0,"USD","2022-06-30 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","MSFT","Properties",0,"USD","2023-06-30 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","MSFT","Properties",0,"USD","2024-06-30 00:00:00","12M",0,"",""
"MO","BALANCE SHEET","DIOD","RawMaterials",148090000,"USD","2020-12-31 00:00:00","12M",0.12047526266763747,"",""
